,oid,c,sectionId,EP_1,EP_2
180,1,9,9105,9105,9105
181,1,1,9100,9100,9100
182,1,2,9103,9103,9103
183,1,3,9106,9106,9106
184,1,4,9101,9101,9101
185,1,5,8106,8106,8106
186,1,6,8102,8102,8102
187,1,7,8105,8105,8105
188,1,8,8108,8108,8108
189,1,9,8103,8103,8109
190,1,1,8106,8106,8110
191,1,2,8109,8109,8109
192,1,3,8104,8104,8104
193,1,4,6910,6910,6910
194,1,5,6906,6906,6906
195,1,6,6909,6909,6909
196,1,7,6912,6912,6912
197,1,8,6907,6907,6907
198,1,9,6910,6910,6910
199,1,1,6913,6913,6913
200,1,2,6908,6908,6908
201,1,3,5513,5513,5513
202,1,4,5509,5509,5509
203,1,5,5512,5512,5512
204,1,6,5515,5513,5515
205,1,7,5510,5514,5510
206,1,8,5513,5515,5513
207,1,9,5516,5516,5516
208,1,1,5511,5511,5511
209,1,2,4016,4016,4016
210,1,3,4012,4012,4012
211,1,4,4015,4015,4015
212,1,5,4018,4018,4018
213,1,6,4013,4013,4013
214,1,7,4016,4016,4016
215,1,8,4019,4019,4019
216,1,9,4014,4014,4014
217,1,1,3018,3018,3018
218,1,2,3014,3014,3014
219,1,3,3017,3017,3017
220,1,4,3020,3020,3020
221,1,5,3015,3015,3015
222,1,6,3018,3018,3018
223,1,7,3021,3021,3021
224,1,8,3016,3016,3016
225,1,9,2421,2421,2421
226,1,1,2417,2417,2417
227,1,2,2420,2420,2420
228,1,3,2423,2423,2423
229,1,4,2418,2418,2418
230,1,5,2421,2421,2421
231,1,6,2424,2424,2424
232,1,7,2419,2419,2419
233,1,8,2222,2222,2222
234,1,9,2218,2218,2218
235,1,1,2221,2221,2221
236,1,2,2224,2224,2224
237,1,3,2219,2219,2219
238,1,4,2222,2222,2222
239,1,5,2225,2225,2225
240,1,6,2220,2220,2220
241,1,7,2124,2124,2124
242,1,8,2120,2120,2120
243,1,9,2123,2123,2123
244,1,1,2126,2126,2126
245,1,2,2121,2121,2121
246,1,3,2124,2124,2124
247,1,4,2127,2127,2127
248,1,5,2122,2122,2122
249,1,6,2224,2224,2224
250,1,7,2220,2220,2220
251,1,8,2223,2223,2223
252,1,9,2226,2226,2226
253,1,1,2221,2221,2221
254,1,2,2224,2224,2224
255,1,3,2227,2227,2227
256,1,4,2222,2222,2222
257,1,5,2525,2525,2525
258,1,6,2521,2521,2526
259,1,7,2524,2524,2524
260,1,8,2527,2527,2527
261,1,9,2522,2522,2522
262,1,1,2525,2525,2525
263,1,2,2528,2528,2528
264,1,3,2523,2523,2523
265,1,4,3225,3225,3225
266,1,5,3221,3221,3221
267,1,6,3224,3224,3224
268,1,7,3227,3227,3227
269,1,8,3222,3222,3222
270,1,9,3225,3225,3225
271,1,1,3228,3228,3228
272,1,2,3223,3223,3223
273,1,3,3925,3925,4001
274,1,4,3921,3921,3921
275,1,5,3924,4001,3924
276,1,6,3927,3927,3927
277,1,7,3922,3922,3922
278,1,8,3925,3925,3925
279,1,9,3928,3928,3928
280,1,1,3923,3923,3923
281,1,2,4724,4724,4724
282,1,3,4720,4720,4720
283,1,4,4723,4723,4723
284,1,5,4726,4726,4726
285,1,6,4721,4721,4727
286,1,7,4724,4724,4724
287,1,8,4727,4727,4727
288,1,9,4722,4722,4722
289,1,1,5424,5424,5424
290,1,2,5420,5420,5425
291,1,3,5423,5423,5426
292,1,4,5426,5426,5426
293,1,5,5421,5421,5421
294,1,6,5424,5424,5424
295,1,7,5427,5427,5427
296,1,8,5422,5422,5422
297,1,9,6023,6023,6023
298,1,1,6019,6019,6019
299,1,2,6022,6022,6022
300,1,3,6025,6028,6025
301,1,4,6020,6020,6020
302,1,5,6023,6023,6023
303,1,6,6026,6026,6026
304,1,7,6021,6021,6021
305,1,8,6522,6522,6522
306,1,9,6518,6518,6518
307,1,1,6521,6521,6521
308,1,2,6524,6524,6524
309,1,3,6519,6519,6519
310,1,4,6522,6522,6522
311,1,5,6525,6525,6525
312,1,6,6520,6520,6520
313,1,7,6722,6722,6722
314,1,8,6718,6718,6718
315,1,9,6721,6721,6721
316,1,1,6724,6724,6722
317,1,2,6719,6719,6723
318,1,3,6722,6722,6722
319,1,4,6725,6725,6725
320,1,5,6720,6720,6720
321,1,6,6722,6722,6722
322,1,7,6718,6718,6718
323,1,8,6721,6721,6721
324,1,9,6724,6724,6724
325,1,1,6719,6719,6719
326,1,2,6722,6722,6722
327,1,3,6725,6725,6725
328,1,4,6720,6720,6720
329,1,5,6622,6622,6622
330,1,6,6618,6618,6618
331,1,7,6621,6621,6621
332,1,8,6624,6624,6624
333,1,9,6619,6619,6619
334,1,1,6622,6622,6622
335,1,2,6625,6625,6625
336,1,3,6620,6620,6620
337,1,4,6323,6323,6323
338,1,5,6319,6319,6319
339,1,6,6322,6322,6322
340,1,7,6325,6325,6325
341,1,8,6320,6320,6320
342,1,9,6323,6323,6323
343,1,1,6326,6326,6326
344,1,2,6321,6321,6321
345,1,3,5724,5724,5724
346,1,4,5720,5720,5720
347,1,5,5723,5723,5723
348,1,6,5726,5726,5728
349,1,7,5721,5721,5721
350,1,8,5724,5724,5724
351,1,9,5727,5727,5727
352,1,1,5722,5722,5722
353,1,2,4925,4925,4925
354,1,3,4921,4921,4921
355,1,4,4924,4924,4924
356,1,5,4927,4927,4927
357,1,6,4922,4922,4922
358,1,7,4925,4925,4925
359,1,8,4928,4928,4928
360,1,9,4923,4923,4923
361,1,1,4426,4426,4426
362,1,2,4422,4422,4422
363,1,3,4425,4425,4425
364,1,4,4428,3328,4428
365,1,5,4423,4423,4423
366,1,6,4426,4426,4426
367,1,7,4429,4429,4429
368,1,8,4424,4424,4425
369,1,9,4128,4128,4128
370,1,1,4124,4124,4124
371,1,2,4127,4127,4127
372,1,3,4130,4130,4130
373,1,4,4125,4125,4125
374,1,5,4128,4128,4128
375,1,6,4131,4131,4131
376,1,7,4126,4126,4126
377,1,8,3929,3929,3929
378,1,9,3925,3925,3925
379,1,1,3928,3928,3928
380,1,2,3931,3931,3931
381,1,3,3926,3926,3926
382,1,4,3929,3929,3929
383,1,5,3932,3932,3932
384,1,6,3927,3927,3927
385,1,7,3930,3930,3930
386,1,8,3926,3926,3926
387,1,9,3929,3929,3929
388,1,1,3932,3932,3932
389,1,2,3927,3927,3927
390,1,3,3930,3930,3930
391,1,4,3933,3933,3933
392,1,5,3928,3928,3928
393,1,6,4030,4030,4030
394,1,7,4026,4026,4026
395,1,8,4029,4029,4029
396,1,9,4032,4032,4032
397,1,1,4027,4027,4027
398,1,2,4030,4030,4030
399,1,3,4033,4033,4033
400,1,4,4028,4028,4028
401,1,5,4331,4331,4331
402,1,6,4327,4327,4327
403,1,7,4330,4330,4330
404,1,8,4333,4333,4333
405,1,9,4328,4328,4328
406,1,1,4331,4331,4331
407,1,2,4334,4334,4334
408,1,3,4329,4329,4329
409,1,4,4732,4732,4732
410,1,5,4728,4728,4728
411,1,6,4731,4731,4731
412,1,7,4734,4734,4734
413,1,8,4729,4729,4729
414,1,9,4732,4732,4732
415,1,1,4735,4735,4735
416,1,2,4730,4730,4730
417,1,3,5232,5232,5232
418,1,4,5228,5228,5228
419,1,5,5231,5231,5231
420,1,6,5234,5234,5234
421,1,7,5229,5229,5229
422,1,8,5232,5232,5232
423,1,9,5235,5235,5235
424,1,1,5230,5230,5230
425,1,2,5732,5732,5732
426,1,3,5728,5728,5728
427,1,4,5731,5731,5731
428,1,5,5734,5734,5734
429,1,6,5729,5729,5729
430,1,7,5732,5732,5732
431,1,8,5735,5735,5735
432,1,9,5730,5730,5730
433,1,1,6031,6031,6031
434,1,2,6027,6027,6027
435,1,3,6030,6030,6030
436,1,4,6033,6033,6033
437,1,5,6028,6028,6028
438,1,6,6031,6031,6031
439,1,7,6034,6034,6034
440,1,8,6029,6029,6029
441,1,9,6331,6331,6331
442,1,1,6327,6327,6327
443,1,2,6330,6330,6330
444,1,3,6333,6333,6333
445,1,4,6328,6328,6328
446,1,5,6331,6331,6331
447,1,6,6334,6334,6332
448,1,7,6329,6329,6333
449,1,8,6232,6232,6232
450,1,9,6228,6228,6228
451,1,1,6231,6231,6231
452,1,2,6234,6234,6234
453,1,3,6229,6229,6229
454,1,4,6232,6232,6232
455,1,5,6235,6235,6235
456,1,6,6230,6236,6230
457,1,7,5832,6237,5832
458,1,8,5828,6238,5828
459,1,9,5831,5831,5831
460,1,1,5834,5834,5834
461,1,2,5829,5829,5829
462,1,3,5832,5832,5832
463,1,4,5835,5835,5835
464,1,5,5830,5830,5830
465,1,6,5233,5233,5233
466,1,7,5229,5229,5229
467,1,8,5232,5232,5232
468,1,9,5235,4737,5235
469,1,1,5230,5230,5230
470,1,2,5233,5233,5233
471,1,3,5236,5236,5236
472,1,4,5231,5231,5231
473,1,5,4634,4634,4634
474,1,6,4630,4630,4630
475,1,7,4633,4633,4633
476,1,8,4636,4636,4636
477,1,9,4631,4631,4631
478,1,1,4634,4634,4634
479,1,2,4637,4637,4637
480,1,3,4632,4632,4632
481,1,4,4335,4335,4335
482,1,5,4331,4331,4331
483,1,6,4334,4334,4334
484,1,7,4337,4337,4337
485,1,8,4332,4332,4332
486,1,9,4335,4335,4335
487,1,1,4338,4338,4338
488,1,2,4333,4333,4333
489,1,3,4236,4236,4236
490,1,4,4232,4232,4232
491,1,5,4235,4235,4235
492,1,6,4238,4238,4238
493,1,7,4233,4233,4233
494,1,8,4236,4236,4236
495,1,9,4239,4239,4239
496,1,1,4234,4234,4234
497,1,2,4137,4137,4137
498,1,3,4133,4133,4133
499,1,4,4136,4136,4136
500,1,5,4139,4139,4139
501,1,6,4134,4134,4134
502,1,7,4137,4137,4137
503,1,8,4140,5001,4140
504,1,9,4135,4135,4135
505,1,1,4239,4239,4239
506,1,2,4235,4235,4235
507,1,3,4238,4238,4238
508,1,4,4241,4241,4241
509,1,5,4236,4236,4236
510,1,6,4239,4239,4239
511,1,7,4242,4242,4242
512,1,8,4237,4237,4237
513,1,9,4439,4439,4439
514,1,1,4435,4435,4435
515,1,2,4438,4438,4438
516,1,3,4441,4441,4441
517,1,4,4436,4436,4436
518,1,5,4439,4439,4439
519,1,6,4442,4442,4442
520,1,7,4437,4437,4437
521,1,8,4941,4941,4941
522,1,9,4937,4937,4937
523,1,1,4940,4940,4940
524,1,2,4943,4943,4943
525,1,3,4938,4938,4938
526,1,4,4941,4941,4941
527,1,5,4944,4944,4944
528,1,6,4939,4939,4939
529,1,7,5542,5542,5542
530,1,8,5538,5538,5538
531,1,9,5541,5541,5541
532,1,1,5544,5544,5544
533,1,2,5539,5539,5539
534,1,3,5542,5542,5542
535,1,4,5545,5545,5545
536,1,5,5540,5540,5540
537,1,6,6243,6243,6243
538,1,7,6239,6239,6239
539,1,8,6242,6242,6242
540,1,9,6245,6245,6245
541,1,1,6240,6240,6240
542,1,2,6243,6243,6243
543,1,3,6246,6246,6246
544,1,4,6241,6241,6241
545,1,5,7043,7043,7043
546,1,6,7039,7039,7039
547,1,7,7042,7042,7042
548,1,8,7045,7045,7045
549,1,9,7040,7040,7040
550,1,1,7043,7043,7043
551,1,2,7046,7046,7046
552,1,3,7041,7041,7041
553,1,4,7943,7943,7943
554,1,5,7939,7939,7939
555,1,6,7942,7942,7942
556,1,7,7945,7945,7945
557,1,8,7940,7940,7940
558,1,9,7943,7943,7943
559,1,1,7946,7946,7946
560,1,2,7941,7941,7941
561,1,3,8743,8744,8743
562,1,4,8739,8739,8739
563,1,5,8742,8742,8742
564,1,6,8745,8745,8745
565,1,7,8740,8740,8740
566,1,8,8743,8743,8743
567,1,9,8746,8746,8746
568,1,1,8741,8741,8741
569,1,2,9043,9043,9043
570,1,3,9039,9039,9039
571,1,4,9042,9042,9042
572,1,5,9045,9045,9045
573,1,6,9040,9040,9040
574,1,7,9043,9043,9043
575,1,8,9046,9046,9046
576,1,9,9041,9041,9041
577,1,1,9144,9144,9144
578,1,2,9140,9140,9140
579,1,3,9143,9143,9143
580,1,4,9146,9146,9146
581,1,5,9141,9141,9141
582,1,6,9144,9144,9144
583,1,7,9147,9147,9147
584,1,8,9142,9142,9142
585,1,9,9044,9044,9044
586,1,1,9040,9040,9040
587,1,2,9043,9043,9043
588,1,3,9046,9046,9046
589,1,4,9041,9041,9041
590,1,5,9044,9044,9044
591,1,6,9047,9047,9047
592,1,7,9042,9042,9042
593,1,8,8644,8644,8644
594,1,9,8640,8640,8640
595,1,1,8643,8643,8643
596,1,2,8646,8646,8646
597,1,3,8641,8742,8641
598,1,4,8644,8644,8644
599,1,5,8647,8647,8647
600,1,6,8642,8642,8642
601,1,7,8143,8143,8143
602,1,8,8139,8139,8139
603,1,9,8142,8142,8142
604,1,1,8145,8145,8145
605,1,2,8140,8140,8140
606,1,3,8143,8143,8143
607,1,4,8146,8146,8146
608,1,5,8141,8141,8141
609,1,6,7344,7344,7344
610,1,7,7340,7340,7340
611,1,8,7343,7343,7343
612,1,9,7346,7346,7328
613,1,1,7341,7341,7341
614,1,2,7344,7344,7344
615,1,3,7347,7347,7347
616,1,4,7342,7342,7342
617,1,5,6345,6345,6345
618,1,6,6341,6341,6341
619,1,7,6344,6344,6344
620,1,8,6347,6347,6347
621,1,9,6342,6342,6342
622,1,1,6345,6345,6345
623,1,2,6348,6432,6348
624,1,3,6343,6343,6343
625,1,4,5446,5446,5446
626,1,5,5442,5442,5442
627,1,6,5445,5445,5445
628,1,7,5448,5448,5448
629,1,8,5443,5443,5443
630,1,9,5446,5446,5446
631,1,1,5449,5449,5449
632,1,2,5444,5444,5444
633,1,3,4546,4546,4546
634,1,4,4542,4542,4542
635,1,5,4545,4545,4545
636,1,6,4548,4548,4548
637,1,7,4543,4543,4543
638,1,8,4546,4546,4546
639,1,9,4549,4549,4549
640,1,1,4544,4544,4544
641,1,2,4546,4546,4546
642,1,3,4542,4542,4542
643,1,4,4545,4545,4545
644,1,5,4548,4548,4548
645,1,6,4543,4543,4543
646,1,7,4546,4546,4546
647,1,8,4549,4549,4549
648,1,9,4544,4544,4544
649,1,1,3450,3450,3450
650,1,2,3446,3446,3446
651,1,3,3449,3449,3449
652,1,4,3452,3452,3452
653,1,5,3447,3447,3447
654,1,6,3450,3450,3450
655,1,7,3453,3453,3453
656,1,8,3448,3448,3448
657,1,9,3051,3051,3051
658,1,1,3047,3047,3047
659,1,2,3050,3050,3050
660,1,3,3053,3053,3053
661,1,4,3048,3048,3048
662,1,5,3051,3051,3051
663,1,6,3054,3054,3054
664,1,7,3049,3049,3049
665,1,8,2952,2952,2952
666,1,9,2948,2948,2948
667,1,1,2951,2951,2951
668,1,2,2954,2954,2954
669,1,3,2949,2949,2949
670,1,4,2952,2952,2952
671,1,5,2955,2955,2955
672,1,6,2950,2950,2950
673,1,7,2952,2952,2952
674,1,8,2948,2948,2948
675,1,9,2951,2951,2951
676,1,1,2954,2954,2954
677,1,2,2949,2949,2949
678,1,3,2952,2952,2952
679,1,4,2955,2955,2955
680,1,5,2950,2950,2950
681,1,6,3154,3154,3154
682,1,7,3150,3150,3150
683,1,8,3153,3153,3153
684,1,9,3156,3156,3156
685,1,1,3151,3151,3151
686,1,2,3154,3154,3154
687,1,3,3157,3157,3157
688,1,4,3152,3152,3152
689,1,5,3456,3456,3456
690,1,6,3452,3452,3452
691,1,7,3455,3455,3455
692,1,8,3458,3458,3458
693,1,9,3453,3453,3453
694,1,1,3456,3456,3456
695,1,2,3459,3459,3459
696,1,3,3454,3454,3454
697,1,4,3758,3758,3758
698,1,5,3754,3754,3754
699,1,6,3757,3757,3757
700,1,7,3760,3760,3760
701,1,8,3755,3755,3755
702,1,9,3758,3758,3758
703,1,1,3761,3761,3761
704,1,2,3756,3756,3756
705,1,3,3959,3959,3959
706,1,4,3955,3955,3955
707,1,5,3958,3958,3958
708,1,6,3961,3961,3961
709,1,7,3956,3956,3956
710,1,8,3959,3959,3959
711,1,9,3962,3962,3962
712,1,1,3957,3957,3957
713,1,2,3959,3959,3959
714,1,3,3955,3955,3955
715,1,4,3958,3958,3958
716,1,5,3961,3961,3961
717,1,6,3956,3956,3956
718,1,7,3959,3959,3959
719,1,8,3962,3962,3962
720,1,9,3957,3957,3957
721,1,1,3959,3959,3959
722,1,2,3955,3955,3955
723,1,3,3958,3958,3958
724,1,4,3961,3961,3961
725,1,5,3956,3956,3956
726,1,6,3959,3959,3959
727,1,7,3962,3962,3962
728,1,8,3957,3957,3957
729,1,9,3757,3757,3757
730,1,1,3753,3753,3753
731,1,2,3756,3756,3756
732,1,3,3759,3759,3759
733,1,4,3754,3754,3754
734,1,5,3757,3757,3757
735,1,6,3760,3760,3760
736,1,7,3755,3755,3755
737,1,8,3755,3756,3755
738,1,9,3751,3751,3751
739,1,1,3754,3754,3754
740,1,2,3757,3757,3757
741,1,3,3752,3752,3752
742,1,4,3755,3755,3755
743,1,5,3758,3758,3758
744,1,6,3753,3753,3753
745,1,7,3755,3755,3755
746,1,8,3751,3751,3751
747,1,9,3754,3754,3754
748,1,1,3757,3757,3757
749,1,2,3752,3752,3752
750,1,3,3755,3755,3755
751,1,4,3758,3758,3758
752,1,5,3753,3753,3753
753,1,6,3756,3756,3756
754,1,7,3752,3752,3752
755,1,8,3755,3755,3755
756,1,9,3758,3758,3758
757,1,1,3753,3753,3753
758,1,2,3756,3756,3756
759,1,3,3759,3759,3759
760,1,4,3754,3754,3754
761,1,5,3857,3857,3857
762,1,6,3853,3853,3853
763,1,7,3856,3856,3856
764,1,8,3859,3859,3859
765,1,9,3854,3854,3854
766,1,1,3857,3857,3857
767,1,2,3860,3860,3860
768,1,3,3855,3855,3855
769,1,4,3857,3857,3857
770,1,5,3853,3853,3853
771,1,6,3856,3856,3856
772,1,7,3859,3859,3859
773,1,8,3854,3854,3854
774,1,9,3857,3857,3857
775,1,1,3860,3860,3860
776,1,2,3855,3855,3855
777,1,3,4361,4361,4361
778,1,4,4357,4357,4357
779,1,5,4360,4360,4360
780,1,6,4363,4363,4363
781,1,7,4358,4358,4358
782,1,8,4361,4361,4361
783,1,9,4364,4364,4364
784,1,1,4359,4359,4359
785,1,2,4763,4763,4763
786,1,3,4759,4759,4759
787,1,4,4762,4762,4762
788,1,5,4765,4765,4765
789,1,6,4760,4760,4760
790,1,7,4763,4762,4763
791,1,8,4766,4766,4766
792,1,9,4761,4761,4761
793,1,1,5165,5165,5165
794,1,2,5161,5161,5161
795,1,3,5164,5164,5164
796,1,4,5167,5167,5167
797,1,5,5162,5162,5162
798,1,6,5165,5165,5165
799,1,7,5168,5168,5168
800,1,8,5163,5163,5163
801,1,9,5768,5768,5768
802,1,1,5764,5764,5764
803,1,2,5767,5767,5767
804,1,3,5770,5770,5770
805,1,4,5765,5765,5765
806,1,5,5768,5768,5768
807,1,6,5771,5771,5771
808,1,7,5766,5766,5766
809,1,8,6571,6571,6571
810,1,9,6567,6567,6567
811,1,1,6570,6568,6570
812,1,2,6573,6569,6573
813,1,3,6568,6568,6568
814,1,4,6571,6571,6571
815,1,5,6574,6574,6574
816,1,6,6569,6569,6569
817,1,7,7374,7374,7374
818,1,8,7370,7370,7370
819,1,9,7373,7373,7373
820,1,1,7376,7376,7376
821,1,2,7371,7371,7371
822,1,3,7374,7374,7374
823,1,4,7377,7377,7377
824,1,5,7372,7372,7372
825,1,6,8177,8177,8177
826,1,7,8173,8173,8173
827,1,8,8176,8176,8176
828,1,9,8179,8179,8179
829,1,1,8174,8174,8174
830,1,2,8177,8177,8177
831,1,3,8180,8180,8180
832,1,4,8175,8175,8175
833,1,5,8177,8177,8177
834,1,6,8173,8173,8173
835,1,7,8176,8176,8176
836,1,8,8179,8179,8179
837,1,9,8174,8174,8174
838,1,1,8177,8177,8177
839,1,2,8180,8180,8180
840,1,3,8175,8175,8175
841,1,4,9279,9279,9279
842,1,5,9275,9275,9275
843,1,6,9278,9278,9278
844,1,7,9281,9281,9281
845,1,8,9276,9276,9276
846,1,9,9279,9279,9279
847,1,1,9282,9282,9282
848,1,2,9277,9277,9277
849,1,3,9477,9477,9477
850,1,4,9473,9473,9473
851,1,5,9476,9476,9476
852,1,6,9479,9479,9479
853,1,7,9474,9474,9474
854,1,8,9477,9477,9477
855,1,9,9480,9480,9480
856,1,1,9475,9475,9475
857,1,2,9675,9675,9675
858,1,3,9671,9671,9671
859,1,4,9674,9674,9674
860,1,5,9677,9677,9677
861,1,6,9672,9672,9672
862,1,7,9675,9675,9675
863,1,8,9678,9678,9678
864,1,9,9673,9673,9673
865,1,1,9673,9673,9673
866,1,2,9669,9669,9669
867,1,3,9672,9672,9672
868,1,4,9675,9675,9675
869,1,5,9670,9670,9670
870,1,6,9673,9673,9673
871,1,7,9676,9676,9676
872,1,8,9671,9671,9671
873,1,9,9672,9672,9672
874,1,1,9668,9668,9668
875,1,2,9671,9671,9671
876,1,3,9674,9674,9674
877,1,4,9669,9669,9669
878,1,5,9672,9672,9672
879,1,6,9675,9675,9675
880,1,7,9670,9670,9670
881,1,8,9671,9671,9671
882,1,9,9667,9667,9667
883,1,1,9670,9670,9670
884,1,2,9673,9673,9673
885,1,3,9668,9668,9668
886,1,4,9671,9671,9671
887,1,5,9674,9674,9674
888,1,6,9669,9669,9669
889,1,7,9570,9570,9570
890,1,8,9566,9566,9566
891,1,9,9569,9569,9569
892,1,1,9572,9572,9572
893,1,2,9567,9567,9567
894,1,3,9570,9570,9570
895,1,4,9573,9573,9573
896,1,5,9568,9568,9568
897,1,6,9269,9269,9269
898,1,7,9265,9265,9265
899,1,8,9268,9268,9268
900,1,9,9271,9271,9271
901,1,1,9266,9266,9266
902,1,2,9269,9269,9269
903,1,3,9272,9272,9272
904,1,4,9267,9267,9267
905,1,5,8468,8468,8468
906,1,6,8464,8464,8464
907,1,7,8467,8467,8467
908,1,8,8470,8470,8470
909,1,9,8465,8465,8465
910,1,1,8468,8468,8468
911,1,2,8471,8471,8471
912,1,3,8466,8466,8466
913,1,4,7567,7567,7567
914,1,5,7563,7563,7563
915,1,6,7566,7566,7566
916,1,7,7569,7569,7569
917,1,8,7564,7564,7564
918,1,9,7567,7567,7567
919,1,1,7570,7570,7570
920,1,2,7565,7565,7565
921,1,3,6567,6567,6567
922,1,4,6563,6563,6563
923,1,5,6566,6566,6566
924,1,6,6569,6569,6569
925,1,7,6564,6564,6564
926,1,8,6567,6567,6567
927,1,9,6570,6570,6570
928,1,1,6565,6565,6565
929,1,2,5769,5769,5769
930,1,3,5765,5765,5765
931,1,4,5768,5768,5768
932,1,5,5771,5771,5771
933,1,6,5766,5766,5766
934,1,7,5769,5769,5769
935,1,8,5772,5772,5772
936,1,9,5767,5767,5767
937,1,1,5271,5271,5271
938,1,2,5267,5267,5267
939,1,3,5270,5270,5270
940,1,4,5273,5273,5273
941,1,5,5268,5268,5268
942,1,6,5271,5271,5271
943,1,7,5274,5274,5274
944,1,8,5269,5269,5269
